antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"distribution_channel=Corporate, is_canceled=0",market_segment=Corporate,0.043486649497940594,0.04430873507872728,0.032707262035584564,0.7521219135802469,16.97457425141758,1.0,0.030780423603518847,3.8554891185617732,0.9838737325988107,0.5937262067915334,0.7406295364223376,0.7451446372142052
market_segment=Corporate,"distribution_channel=Corporate, is_canceled=0",0.04430873507872728,0.043486649497940594,0.032707262035584564,0.7381673608481636,16.97457425141758,1.0,0.030780423603518847,3.6531478795024426,0.9847200607369576,0.5937262067915334,0.7262634766002959,0.7451446372142052
market_segment=Corporate,"deposit_type=No Deposit, distribution_channel=Corporate",0.04430873507872728,0.05124613074516186,0.037891434371565905,0.8551684967815222,16.68747443654092,1.0,0.035620783140568706,6.550742401835367,0.9836595238165424,0.6571137620017456,0.8473455467093588,0.7972846903616237
"deposit_type=No Deposit, distribution_channel=Corporate",market_segment=Corporate,0.05124613074516186,0.04430873507872728,0.037891434371565905,0.7394008839417253,16.68747443654092,1.0,0.035620783140568706,3.667285136560336,0.9908521535795511,0.6571137620017456,0.7273187214076482,0.7972846903616237
"distribution_channel=Corporate, reserved_room_type=A",market_segment=Corporate,0.048897314800057046,0.04430873507872728,0.03614659966948804,0.7392348601818494,16.68372746070013,1.0,0.03398002150195119,3.6649502521224333,0.9883910230512296,0.6334901499558954,0.7271450002845513,0.7775121669330299
market_segment=Corporate,"distribution_channel=Corporate, reserved_room_type=A",0.04430873507872728,0.048897314800057046,0.03614659966948804,0.8157894736842105,16.683727460700126,1.0,0.03398002150195119,5.163128862513975,0.9836454413224994,0.6334901499558954,0.806318992489161,0.7775121669330299
"distribution_channel=Corporate, meal=BB",market_segment=Corporate,0.05336006509575619,0.04430873507872728,0.03900712194549069,0.7310171356704921,16.498262348758747,1.0,0.03664280495737919,3.5529819615220437,0.9923388202076749,0.6649506649506649,0.7185462772314174,0.805682744283561
market_segment=Corporate,"distribution_channel=Corporate, meal=BB",0.04430873507872728,0.05336006509575619,0.03900712194549069,0.88034835289663,16.498262348758743,1.0,0.03664280495737919,7.911633126842113,0.9829404020363539,0.6649506649506649,0.8736038458852117,0.805682744283561
"deposit_type=No Deposit, market_segment=Corporate",distribution_channel=Corporate,0.04147337868785075,0.05579276732461475,0.037891434371565905,0.9136326860841424,16.375468181537293,1.0,0.035577519804269014,10.932460323997901,0.9795586505511286,0.6381746256004521,0.9085292815739844,0.7963893395839445
distribution_channel=Corporate,"deposit_type=No Deposit, market_segment=Corporate",0.05579276732461475,0.04147337868785075,0.037891434371565905,0.6791459930837468,16.375468181537293,1.0,0.035577519804269014,2.987422942055813,0.9944141616342216,0.6381746256004521,0.6652633325123211,0.7963893395839445
"is_canceled=0, market_segment=Corporate",distribution_channel=Corporate,0.0359956043587313,0.05579276732461475,0.032707262035584564,0.9086460032626429,16.28608952081437,1.0,0.03069896765688898,10.335697029107358,0.973644840440907,0.553599318472242,0.903247937978077,0.7474368191023785
"is_family_trip=0, market_segment=Corporate",distribution_channel=Corporate,0.04388930365995856,0.05579276732461475,0.039720155357397514,0.9050076452599389,16.2208775197402,1.0,0.03727144965025808,9.939823423254769,0.9814251192178595,0.662423055400112,0.899394591088968,0.808465332177406
distribution_channel=Corporate,"is_family_trip=0, market_segment=Corporate",0.05579276732461475,0.04388930365995856,0.039720155357397514,0.711923019094873,16.2208775197402,1.0,0.03727144965025808,3.3189416708547057,0.9937977825929208,0.662423055400112,0.6986991338891242,0.808465332177406
market_segment=Corporate,distribution_channel=Corporate,0.04430873507872728,0.05579276732461475,0.040072477749163234,0.9043922756531617,16.209847960958918,1.0,0.03760037080246781,9.875846738596804,0.981811952458368,0.6675517048630519,0.89874285957762,0.8113150673108689
distribution_channel=Corporate,market_segment=Corporate,0.05579276732461475,0.04430873507872728,0.040072477749163234,0.7182378589685762,16.209847960958918,1.0,0.03760037080246781,3.3918370346805684,0.9937533565603913,0.6675517048630519,0.7051745146434559,0.8113150673108689
"distribution_channel=Corporate, is_family_trip=0",market_segment=Corporate,0.05531461550721842,0.04430873507872728,0.039720155357397514,0.7180770397330907,16.206218445577814,1.0,0.03726923471290652,3.389902205966042,0.9932357438584077,0.6630723988236942,0.705006239342228,0.8072588909381091
market_segment=Corporate,"distribution_channel=Corporate, is_family_trip=0",0.04430873507872728,0.05531461550721842,0.039720155357397514,0.8964407421431276,16.20621844557781,1.0,0.03726923471290652,9.122172213694467,0.981797495717561,0.6630723988236942,0.8903769873475124,0.8072588909381091
distribution_channel=Corporate,"market_segment=Corporate, meal=BB",0.05579276732461475,0.04317627024805174,0.03900712194549069,0.6991429860171403,16.192760097166754,1.0,0.03659819834559645,3.1803271497152465,0.9936844087263398,0.6505316172355904,0.6855669392095288,0.8012909412308356
"market_segment=Corporate, meal=BB",distribution_channel=Corporate,0.04317627024805174,0.05579276732461475,0.03900712194549069,0.9034388964445308,16.19276009716675,1.0,0.03659819834559645,9.778339288893777,0.9805818736951777,0.6505316172355904,0.8977331456338605,0.8012909412308356
