antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
meal=SC,"market_segment=Online TA, reserved_room_type=A",0.08849164073182395,0.29387042924611395,0.08136130661275574,0.9194236420513792,3.1286701571506867,1.0,0.05535623016620174,8.763483343391451,0.7464280237315096,0.2703026587146759,0.8858901237309819,0.5981423987831684
meal=SC,"hotel=City Hotel, market_segment=Online TA",0.08849164073182395,0.3244637569311042,0.08227566710567155,0.9297563750118494,2.865516887944041,1.0,0.05356333689682643,9.617047001530059,0.714225837159417,0.24880771182141048,0.8960179772604936,0.5916653329853838
reserved_room_type=E,"customer_type=Transient, hotel=Resort Hotel",0.054685468379065336,0.25337013144980663,0.034703755588923656,0.6346065347445928,2.5046619785580773,1.0,0.020848091277325627,2.043358569722381,0.6354969780792744,0.12695636162769286,0.5106096331708125,0.3857875740866389
"distribution_channel=TA/TO, reserved_room_type=E",hotel=Resort Hotel,0.03850380424296823,0.33593101192024094,0.03139024738065079,0.8152505446623094,2.426839189398423,1.0,0.018455625458531605,3.5944300180260544,0.6114859170751419,0.09150486623954614,0.7217917736650865,0.454346542870035
reserved_room_type=E,"hotel=Resort Hotel, is_family_trip=0",0.054685468379065336,0.3029720910333951,0.03978726438440051,0.7275655775425679,2.4014277191702518,1.0,0.023219093680454474,2.5585162942304605,0.6173406145353838,0.12516823687752354,0.6091484731775859,0.42944438857193185
reserved_room_type=E,"deposit_type=No Deposit, hotel=Resort Hotel",0.054685468379065336,0.3203197745136693,0.04124688572171564,0.7542567878508974,2.35469942183888,1.0,0.023730048821359043,2.7658148501531783,0.6085988596251055,0.12358307990047,0.6384428986833238,0.4415123143130355
"is_family_trip=0, reserved_room_type=E",hotel=Resort Hotel,0.05039049065087368,0.33593101192024094,0.03978726438440051,0.7895788247045114,2.350419570349101,1.0,0.02285953586889507,3.155903806483474,0.6050319005866018,0.1148148148148148,0.6831335613127357,0.4540088100449091
reserved_room_type=E,"hotel=Resort Hotel, is_repeated_guest=0",0.054685468379065336,0.3210244192972007,0.04062612722193794,0.7429053535818377,2.3141708509534427,1.0,0.023070756491553056,2.6409557342491343,0.600731046070319,0.12124170734760294,0.6213492005823733,0.43472843523770344
"deposit_type=No Deposit, reserved_room_type=E",hotel=Resort Hotel,0.05381305102802641,0.33593101192024094,0.04124688572171564,0.7664848012470772,2.2816732425676176,1.0,0.02316941303535517,2.8437934302614516,0.5936724764520117,0.11835644136337377,0.6483570187065021,0.44463429993932546
"is_repeated_guest=0, reserved_room_type=E",hotel=Resort Hotel,0.05315034938637184,0.33593101192024094,0.04062612722193794,0.7643623737373737,2.27535519679515,1.0,0.02277127656865969,2.818178907215909,0.5919716801250401,0.11658922939887816,0.6451609238010003,0.4426491487125664
reserved_room_type=E,hotel=Resort Hotel,0.054685468379065336,0.33593101192024094,0.04179214656611498,0.7642276422764228,2.2749541279561027,1.0,0.02342160183620322,2.8165684666831163,0.5928510336207596,0.11980857561984463,0.6449580360538394,0.44431728715229524
"meal=HB, stay_bucket=4-7",hotel=Resort Hotel,0.04571802464579017,0.33593101192024094,0.03477086461592665,0.7605504587155963,2.2640078817616622,1.0,0.01941276233367184,2.7733149310610625,0.5850528869196112,0.10023941379894077,0.6394206843225689,0.4320282134261196
"customer_type=Transient, reserved_room_type=E",hotel=Resort Hotel,0.0465904419968291,0.33593101192024094,0.034703755588923656,0.7448685631976953,2.2173259888686525,1.0,0.019052581263117565,2.6028505009138896,0.5758347173727274,0.09977570363938933,0.6158058253253927,0.424087380535071
"meal=BB, reserved_room_type=E",hotel=Resort Hotel,0.04246323683614492,0.33593101192024094,0.031105034015888062,0.7325167917819044,2.180557214990986,1.0,0.016840315896113046,2.482656733869823,0.5654107954003821,0.08956521739130434,0.5972056924513858,0.41255515461841563
"customer_type=Transient, meal=HB",hotel=Resort Hotel,0.06726841094212685,0.33593101192024094,0.0443339009638534,0.6590597331338073,1.9618901195412284,1.0,0.021736355605798122,1.9477575769610784,0.5256468889113328,0.12353903693314634,0.4865890848900122,0.3955164819592025
"adr_bucket=A1, meal=BB",hotel=Resort Hotel,0.17754531956479797,0.33593101192024094,0.11411051179021718,0.6427120245688637,1.9132262332525012,1.0,0.054467532927112046,1.8586379440238163,0.5803634784092799,0.2857292891950933,0.46197159957088124,0.49119819377571683
meal=SC,"customer_type=Transient, hotel=City Hotel",0.08849164073182395,0.497210781065188,0.08271187578119102,0.9346857522040003,1.879858176449026,1.0,0.03871287797518083,7.698002134315421,0.5134840201622644,0.16444021947599274,0.8700961648812365,0.5505187432905546
meal=SC,"hotel=City Hotel, reserved_room_type=A",0.08849164073182395,0.5241550554068904,0.08666291974599233,0.9793345340790595,1.8684061595453332,1.0,0.04027957889515651,23.02609321336088,0.5099069706750368,0.16476348441835986,0.9565710087797373,0.572336430345336
"adr_bucket=A1, reserved_room_type=A",hotel=Resort Hotel,0.16871209388552877,0.33593101192024094,0.10339823335486414,0.612867939538584,1.8243863108538945,1.0,0.04672260893271577,1.7153551872925912,0.5435787923344687,0.25769359424652954,0.41703035767284036,0.4603319870494198
meal=SC,"customer_type=Transient, reserved_room_type=A",0.08849164073182395,0.510565477438784,0.08207434002466257,0.9274812778462413,1.8165765584051752,1.0,0.03689356322507754,6.749078141827801,0.4931539850876484,0.1587564296029467,0.8518316162614206,0.5441165590072427
meal=SC,"deposit_type=No Deposit, hotel=City Hotel",0.08849164073182395,0.5559563455779345,0.08777860731991712,0.9919423642051378,1.7842090878088313,1.0,0.038581118124456776,55.10842953527417,0.48219807010307936,0.15768535262206151,0.9818539557662423,0.5749149768969861
reserved_room_type=D,"market_segment=Online TA, meal=BB",0.16088550361130452,0.35426855354880926,0.0975933025191051,0.6066009698107304,1.7122630945767985,1.0,0.040596627867756516,1.6414159591103228,0.4957340183195169,0.23372240191252985,0.39076990542847034,0.4410396400483847
