support,itemsets
0.9685090890788447,frozenset({'is_repeated_guest=0'})
0.9217173200010066,frozenset({'is_family_trip=0'})
0.8910317174038873,"frozenset({'is_repeated_guest=0', 'is_family_trip=0'})"
0.8762761200916038,frozenset({'deposit_type=No Deposit'})
0.845355635899974,"frozenset({'is_repeated_guest=0', 'deposit_type=No Deposit'})"
0.819988423692842,frozenset({'distribution_channel=TA/TO'})
0.8094690837101226,"frozenset({'is_repeated_guest=0', 'distribution_channel=TA/TO'})"
0.7980773263763642,"frozenset({'deposit_type=No Deposit', 'is_family_trip=0'})"
0.7737251382026524,frozenset({'meal=BB'})
0.7679621505087703,"frozenset({'is_repeated_guest=0', 'deposit_type=No Deposit', 'is_family_trip=0'})"
0.7575434740665554,"frozenset({'distribution_channel=TA/TO', 'is_family_trip=0'})"
0.7505809125149947,frozenset({'customer_type=Transient'})
0.7473932337323524,"frozenset({'is_repeated_guest=0', 'distribution_channel=TA/TO', 'is_family_trip=0'})"
0.744851479334614,"frozenset({'is_repeated_guest=0', 'meal=BB'})"
0.7252388661929888,"frozenset({'customer_type=Transient', 'is_repeated_guest=0'})"
0.7203482958501456,frozenset({'reserved_room_type=A'})
0.7098876762660538,"frozenset({'meal=BB', 'is_family_trip=0'})"
0.7049719400380844,"frozenset({'distribution_channel=TA/TO', 'deposit_type=No Deposit'})"
0.6949475291295121,"frozenset({'reserved_room_type=A', 'is_repeated_guest=0'})"
0.6948720314741337,"frozenset({'is_repeated_guest=0', 'distribution_channel=TA/TO', 'deposit_type=No Deposit'})"
0.6923218884480199,"frozenset({'reserved_room_type=A', 'is_family_trip=0'})"
0.6817354394382974,"frozenset({'is_repeated_guest=0', 'meal=BB', 'is_family_trip=0'})"
0.6796215050877031,"frozenset({'customer_type=Transient', 'is_family_trip=0'})"
0.6681290842134403,"frozenset({'meal=BB', 'deposit_type=No Deposit'})"
0.6672147237205245,"frozenset({'reserved_room_type=A', 'is_repeated_guest=0', 'is_family_trip=0'})"
0.6640689880797591,frozenset({'hotel=City Hotel'})
0.6549505490357271,"frozenset({'customer_type=Transient', 'is_repeated_guest=0', 'is_family_trip=0'})"
0.647484669781644,"frozenset({'hotel=City Hotel', 'is_repeated_guest=0'})"
0.6425940994388007,"frozenset({'distribution_channel=TA/TO', 'deposit_type=No Deposit', 'is_family_trip=0'})"
0.6421243362497798,"frozenset({'customer_type=Transient', 'deposit_type=No Deposit'})"
0.6398258520749273,"frozenset({'is_repeated_guest=0', 'meal=BB', 'deposit_type=No Deposit'})"
0.6292310144368294,frozenset({'is_canceled=0'})
0.6273939048226225,"frozenset({'is_canceled=0', 'deposit_type=No Deposit'})"
0.6187452289676115,"frozenset({'hotel=City Hotel', 'is_family_trip=0'})"
0.6179063661300741,"frozenset({'distribution_channel=TA/TO', 'meal=BB'})"
0.617277219001921,"frozenset({'customer_type=Transient', 'is_repeated_guest=0', 'deposit_type=No Deposit'})"
0.6109270273217626,"frozenset({'customer_type=Transient', 'distribution_channel=TA/TO'})"
0.6091150835926817,"frozenset({'is_repeated_guest=0', 'distribution_channel=TA/TO', 'meal=BB'})"
0.6044258403308475,"frozenset({'customer_type=Transient', 'is_repeated_guest=0', 'distribution_channel=TA/TO'})"
0.6043587313038445,"frozenset({'meal=BB', 'deposit_type=No Deposit', 'is_family_trip=0'})"
0.6025300103180129,"frozenset({'hotel=City Hotel', 'is_repeated_guest=0', 'is_family_trip=0'})"
0.6023538491221301,"frozenset({'is_repeated_guest=0', 'is_canceled=0'})"
0.6005838485349261,"frozenset({'is_repeated_guest=0', 'is_canceled=0', 'deposit_type=No Deposit'})"
